Roll,Name,Description
35,Airblade Charm,"You can attach this charm to a weapon with a Melee range. Three times per rest, you can activate the charm and attack a target within Close range."
36,Portal Seed,You can plant this seed in the ground to grow a portal in that spot. The portal is ready to use in 24 hours. You can use this portal to travel to any other location where you planted a portal seed. A portal can be destroyed by dealing any amount of magic damage to it.
37,Paragon’s Chain,"As a downtime move, you can meditate on an ideal or principle you hold dear and focus your will into this chain. Once per long rest, you can spend a Hope to roll a d20 as your Hope Die for rolls that directly align with that principle."
38,Elusive Amulet,"Once per long rest, you can activate this amulet to become **Hidden** until you move. While **Hidden** in this way, you remain unseen even if an adversary moves to where they would normally see you."
39,Hopekeeper Locket,"During a long rest, if you have 6 Hope, you can spend a Hope to imbue this locket with your bountiful resolve. When you have 0 Hope, you can use the locket to immediately gain a Hope. The locket must be re-imbued before it can be used this way again."
40,Infinite Bag,"When you store items in this bag, they are kept in a pocket dimension that never runs out of space. You can retrieve an item at any time."
41,Stride Relic,You gain a +1 bonus to your Agility. You can only carry one relic.
42,Bolster Relic,You gain a +1 bonus to your Strength. You can only carry one relic.
43,Control Relic,You gain a +1 bonus to your Finesse. You can only carry one relic.
44,Attune Relic,You gain a +1 bonus to your Instinct. You can only carry one relic.
45,Charm Relic,You gain a +1 bonus to your Presence. You can only carry one relic.
46,Enlighten Relic,You gain a +1 bonus to your Knowledge. You can only carry one relic.
47,Honing Relic,You gain a +1 bonus to an Experience of your choice. You can only carry one relic.
48,Flickerfly Pendant,"While you carry this pendant, your weapons with a Melee range that deal physical damage have a gossamer sheen and can attack targets within Very Close range."
49,Lasketider Boots,You can walk on the surface of water as if it were soft ground.
50,Clay Companion,"When you sculpt this ball of clay into a clay animal companion, it behaves as that animal. For example, a clay spider can spin clay webs, while a clay bird can fly. The clay companion retains memory and identity across different shapes, but they can adopt new mannerisms with each form."
51,Mythic Dust Recipe,"As a downtime move, you can use a handful of fine gold dust to craft Mythic Dust."
52,Shard of Memory,"Once per long rest, you can spend 2 Hope to recall a domain card from your vault instead of paying its Recall Cost."
53,Gem of Alacrity,"You can attach this gem to a weapon, allowing you to use your Agility when making an attack with that weapon."
54,Gem of Might,"You can attach this gem to a weapon, allowing you to use your Strength when making an attack with that weapon."
55,Gem of Precision,"You can attach this gem to a weapon, allowing you to use your Finesse when making an attack with that weapon."
56,Gem of Insight,"You can attach this gem to a weapon, allowing you to use your Instinct when making an attack with that weapon."
57,Gem of Audacity,"You can attach this gem to a weapon, allowing you to use your Presence when making an attack with that weapon."
58,Gem of Sagacity,"You can attach this gem to a weapon, allowing you to use your Knowledge when making an attack with that weapon."
59,Ring of Unbreakable Resolve,"Once per session, when the GM spends a Fear, you can spend 4 Hope to cancel the effects of that spent Fear."
60,Belt of Unity,"Once per session, you can spend 5 Hope to lead a Tag Team Roll with three PCs instead of two."
